,precint,2022,2021
0,75,3649,3157
1,77,1197,883
2,79,1236,1201
3,81,1128,1030
4,83,1754,1393
5,84,1070,883
6,88,733,598
7,90,1438,1102
8,94,1205,845
9,61,1449,896
10,62,1234,980
11,63,922,733
12,66,1111,813
13,67,1908,1535
14,68,760,641
15,69,726,553
16,70,1239,1188
17,71,1012,809
18,72,1528,1016
19,76,481,342
20,41,1479,1025
21,42,1995,1677
22,43,3022,2365
23,44,3158,2296
24,45,1286,1148
25,46,1898,1721
26,47,2400,2132
27,48,1869,1541
28,49,1527,1210
29,50,1326,854
30,52,1897,1735
31,20,1126,970
32,22,71,53
33,23,1202,965
34,24,1010,894
35,25,1401,1049
36,26,720,542
37,28,910,912
38,30,775,699
39,32,1231,1110
40,33,899,980
41,34,1474,1260
42,5,1016,686
43,6,2045,1321
44,7,1247,909
45,9,1693,1370
46,10,1121,865
47,13,1620,1339
48,14,3596,2393
49,17,991,826
50,18,2334,1533
51,108,1344,1009
52,109,2655,1428
53,110,2240,1473
54,111,1083,682
55,112,783,562
56,114,1981,1596
57,115,1931,1365
58,101,593,624
59,102,1227,889
60,103,1813,1405
61,105,1521,1192
62,106,1435,1189
63,107,1357,926
64,113,1192,1085
65,121,792,613
66,122,680,566
67,123,436,265
68,60,1207,980
69,104,1536,1208
70,100,411,304
71,120,950,697
72,73,1689,1332
73,40,2508,1980
74,19,2268,1674
75,1,1603,1156
